query,attack_type,generated_rule,valid_rule,validation_errors,detected_options,missing_options,explanation,source_doc_ids,retrieved_context_used,hallucination_risk,option_coverage
Generate a Snort rule for repeated SSH brute force attempts on port 22,ssh_bruteforce,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""P1 SSH brute force repeated login failures 3""; flow:to_server,established; content:""SSH-""; detection_filter:track by_src,count 8,seconds 60; classtype:attempted-admin; sid:9100023; rev:1;)",True,[],"[""classtype"", ""content"", ""detection_filter"", ""flow"", ""msg"", ""rev"", ""sid""]",[],"Attack type: ssh_bruteforce. The rule uses a conservative classtype (attempted-admin) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0023, SNORT-P1-0026, SNORT-P1-0039. Parser status: valid by internal parser. Agent decision: direct hybrid retrieval because the query was specific.","[""SNORT-P1-0023"", ""SNORT-P1-0026"", ""SNORT-P1-0039""]",True,0.0,0.7777777777777778
Detect SQL injection with UNION SELECT in HTTP URI,sql_injection,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 SQL injection payload 16""; flow:to_server,established; content:""union select null""; nocase; classtype:web-application-attack; sid:9100056; rev:1;)",True,[],"[""classtype"", ""content"", ""flow"", ""msg"", ""nocase"", ""rev"", ""sid""]",[],"Attack type: sql_injection. The rule uses a conservative classtype (web-application-attack) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0056, SNORT-P1-0041, SNORT-P1-0047. Parser status: valid by internal parser. Agent decision: direct hybrid retrieval because the query was specific.","[""SNORT-P1-0056"", ""SNORT-P1-0041"", ""SNORT-P1-0047""]",True,0.0,0.7777777777777778
Detect XSS attack where the URI contains <script>alert(1)</script>,xss,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 XSS payload marker 1""; flow:to_server,established; content:""<script>alert(1)</script""; nocase; pcre:""/\<script\>alert(1)\<\/script\>/i""; classtype:web-application-attack; sid:9100061; rev:1;)",True,[],"[""classtype"", ""content"", ""flow"", ""msg"", ""nocase"", ""pcre"", ""rev"", ""sid""]",[],"Attack type: xss. The rule uses a conservative classtype (web-application-attack) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0061, SNORT-P1-0073, SNORT-P1-0071. Parser status: valid by internal parser. Agent decision: direct hybrid retrieval because the query was specific.","[""SNORT-P1-0061"", ""SNORT-P1-0073"", ""SNORT-P1-0071""]",True,0.0,0.8888888888888888
Detect a TCP SYN port scan against our web server,port_scan,"alert tcp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 Port scan repeated SYN 6""; flags:S; detection_filter:track by_src,count 11,seconds 8; classtype:attempted-recon; sid:9100006; rev:1;)",True,[],"[""classtype"", ""detection_filter"", ""flags"", ""msg"", ""rev"", ""sid""]",[],"Attack type: port_scan. The rule uses a conservative classtype (attempted-recon) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0006, SNORT-P1-0014, SNORT-P1-0002. Parser status: valid by internal parser. Agent decision: direct hybrid retrieval because the query was specific.","[""SNORT-P1-0006"", ""SNORT-P1-0014"", ""SNORT-P1-0002""]",True,0.0,0.6666666666666666
Detect DNS tunneling using long encoded subdomains,dns_tunneling,"alert udp $HOME_NET any -> $EXTERNAL_NET 53 (msg:""P1 DNS tunneling long query 14""; content:""segment""; nocase; dsize:>70; classtype:trojan-activity; sid:9100134; rev:1;)",True,[],"[""classtype"", ""content"", ""dsize"", ""msg"", ""nocase"", ""rev"", ""sid""]",[],"Attack type: dns_tunneling. The rule uses a conservative classtype (policy-violation) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0126, SNORT-P1-0126, SNORT-P1-0134. Parser status: valid by internal parser. Agent decision: query was ambiguous, so it used retrieval + query expansion.","[""SNORT-P1-0126"", ""SNORT-P1-0126"", ""SNORT-P1-0134""]",True,0.0,0.7777777777777778
Detect ICMP ping sweep against internal network,icmp_sweep,"alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:""P1 ICMP sweep repeated echo requests 17""; dsize:>40; detection_filter:track by_src,count 6,seconds 5; classtype:attempted-recon; sid:9100157; rev:1;)",True,[],"[""classtype"", ""detection_filter"", ""dsize"", ""msg"", ""rev"", ""sid""]",[],"Attack type: icmp_sweep. The rule uses a conservative classtype (attempted-recon) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0157, SNORT-P1-0141, SNORT-P1-0149. Parser status: valid by internal parser. Agent decision: query was ambiguous, so it used retrieval + query expansion.","[""SNORT-P1-0157"", ""SNORT-P1-0141"", ""SNORT-P1-0149""]",True,0.0,0.6666666666666666
Alert when someone tries ../../../../etc/passwd directory traversal,directory_traversal,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Directory traversal attempt 1""; flow:to_server,established; content:""../""; nocase; pcre:""/(\.\.|%2f|win\.ini|passwd)/i""; classtype:web-application-attack; sid:9100101; rev:1;)",True,[],"[""classtype"", ""content"", ""flow"", ""msg"", ""nocase"", ""pcre"", ""rev"", ""sid""]",[],"Attack type: directory_traversal. The rule uses a conservative classtype (web-application-attack) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0101, SNORT-P1-0101, SNORT-P1-0119. Parser status: valid by internal parser. Agent decision: query was ambiguous, so it used retrieval + query expansion.","[""SNORT-P1-0101"", ""SNORT-P1-0101"", ""SNORT-P1-0119""]",True,0.0,0.8888888888888888
Detect command injection with cmd parameter and whoami in HTTP request,command_injection,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""P1 Command injection payload 7""; flow:to_server,established; content:""&& bash -c whoami""; nocase; classtype:web-application-attack; sid:9100087; rev:1;)",True,[],"[""classtype"", ""content"", ""flow"", ""msg"", ""nocase"", ""rev"", ""sid""]",[],"Attack type: command_injection. The rule uses a conservative classtype (web-application-attack) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0087, SNORT-P1-0099, SNORT-P1-0094. Parser status: valid by internal parser. Agent decision: direct hybrid retrieval because the query was specific.","[""SNORT-P1-0087"", ""SNORT-P1-0099"", ""SNORT-P1-0094""]",True,0.0,0.7777777777777778
Detect malware command and control beacon to /gate.php,malware_c2,"alert tcp $HOME_NET any -> $EXTERNAL_NET 80 (msg:""P1 Malware C2 beacon 2""; flow:to_server,established; content:""/gate.php""; nocase; detection_filter:track by_src,count 4,seconds 300; classtype:trojan-activity; sid:9100162; rev:1;)",True,[],"[""classtype"", ""content"", ""detection_filter"", ""flow"", ""msg"", ""nocase"", ""rev"", ""sid""]",[],"Attack type: malware_c2. The rule uses a conservative classtype (trojan-activity) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0162, SNORT-P1-0174, SNORT-P1-0161. Parser status: valid by internal parser. Agent decision: direct hybrid retrieval because the query was specific.","[""SNORT-P1-0162"", ""SNORT-P1-0174"", ""SNORT-P1-0161""]",True,0.0,0.8888888888888888
A user connects normally to the company website using HTTPS,ftp_bruteforce,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""LOCAL FTP BRUTEFORCE detected""; flow:to_server,established; content:""USER ""; nocase; detection_filter:track by_src, count 6, seconds 60; classtype:attempted-admin; sid:9085512; rev:1;)",True,[],"[""classtype"", ""content"", ""detection_filter"", ""flow"", ""msg"", ""nocase"", ""rev"", ""sid""]",[],"Attack type: ftp_bruteforce. The rule uses a conservative classtype (attempted-admin) and includes msg/sid/rev. It was selected or adapted after retrieving similar examples: SNORT-P1-0181, SNORT-P1-0181, SNORT-P1-0029. Parser status: valid by internal parser. Agent decision: query was ambiguous, so it used retrieval + query expansion.","[""SNORT-P1-0181"", ""SNORT-P1-0181"", ""SNORT-P1-0029""]",True,0.3,0.8888888888888888
